,0,1,2,3,4,5,6,7
0,Opening,Title,Director,Cast,Genre,Production house,Ref.,
1,APR,6,Blackmail,Abhinay Deo,Irrfan KhanKirti KulhariArunoday SinghDivya DuttaOmi Vaidya,Comedy thriller,"T-Series, RDP Motion Pictures",
2,Missing,Mukul Abhyankar,TabuManoj BajpayeeAnnu Kapoor,Psychological Thriller,"Friday Filmwork, Abundantia Entertainment",,,
3,13,October,Shoojit Sircar,Varun DhawanBanita SandhuGitanjali Rao,Slice of lifeRomantic drama,Rising Sun FilmsKino Works,,
4,Mercury,Karthik Subbaraj,Prabhu DevaSananth ReddyRemya Nambeesan,Thriller,Pen India Limited,,,
5,Zoo,Shlok Sharma,Shweta TripathiShashank AroraRahul Kumar,Drama,Bahadur Films,[68],,
6,20,Beyond the Clouds,Majid Majidi,Ishaan KhatterMalavika Mohanan,Drama,Zee Studios,,
7,Nanu Ki Jaanu,Faraz Haider,PatralekhaaAbhay DeolSapna Chaudhary,Comedy,Inbox Pictures,,,
8,27,Daas Dev,Sudhir Mishra,Richa ChaddhaAditi Rao HydariRahul BhatSaurabh ShuklaVipin SharmaVineet Kumar SinghDalip TahilAnurag Kashyap,Romantic thriller,"Saptrishi Cinevision, Storm Motion Pictures",,
9,Ishq Tera,Jojo D'Souza,Hrishitaa BhattMohit MadaanMozhgan Taraneh (Irani Star)Shahbaz KhanAman VermaGanesh YadavManoj PawhaSalil NaikManju SharmaPyumori Mehta Ghosh,Thriller,Big Banner Entertainment,,,
10,Our Heroes,Manish Parihar,Devraj Singh SarangdevotShankar Lal DangiMahesh GurjarGourav Gurjar,Action,Jassi Production House Ltd.,[citation needed],,
11,MAY,4,102 Not Out,Umesh Shukla,Amitabh BachchanRishi Kapoor,Comedy,Sony Pictures,
12,Omerta,Hansal Mehta,Rajkummar Rao,Crime Drama,Swiss Entertainment,,,
13,11,Raazi,Meghna Gulzar,Vicky KaushalAlia Bhatt,Period Thriller,"Junglee Pictures, Dharma Productions",,
14,The Past,Gagan Puri,Vedita Pratap SinghYuvraaj Parashar,Horror Thriller,Peacock Motion Filmz,[69],,
15,Hope Aur Hum,Sudip Bandyopadhyay,Naseeruddin ShahSonali KulkarniAamir Bashir,Drama,PVR Pictures,[70],,
16,Falooda,Dhiraj Singh,Aarav NegiGoonj ChandAzharPihu SharmaDhiraj Singh,Comedy,"Vaibav laxmi Films, Shree S.J Entertainment, Dev Gayatri Entertainment",[71],,
17,Bhootwali Love Story,Shantanu Anant Tambe,Kanchan AwasthiSuhas RukeTushar AcharyaLaxman DawbhatNamrata Jadhav,Horror-Comedy,Passionwoald Entertainments,[72],,
18,18,High Jack,Akash Khurana,Sumeet VyasSonnalli SeygallMantraTaaruk RainaPriyanshu PainyuliKumud MishraNatasha Rastogi,Comedy,Phantom Films,[73],
19,Khajoor Pe Atke,Harsh Chhaya,Vinay PathakManoj PahwaSeema PahwaDolly AhluwaliaSabah Kapoor,Comedy,Welcome Friends Production,[74],,
20,25,Parmanu: The Story Of Pokhran,Abhishek Sharma,John AbrahamDiana PentyBoman Irani,Action/drama,"KAYTA Production, JA Entertainment",[75],
21,One Night Out,Ravinddra Khare,Javed HaiderGulashan pandeyKabina MaharjanNeha Joshi,Suspense thriller,Music One Films Production & Studio,[76],,
22,Bioscopewala,Deb Medhekar,Danny DenzongpaGeetanjali ThapaTisca ChopraAdil Hussain,Drama,"Fox Star Studios, Star India",[77],,
23,JUN,1,Veere Di Wedding,Shashanka Ghosh,Kareena KapoorSonam KapoorSwara BhaskarShikha TalsaniaSumeet Vyas,Romantic comedy,Balaji Motion Pictures,[78][79]
24,Bhavesh Joshi Superhero,Vikramaditya Motwane,Harshvardhan KapoorPriyanshu PainyuliNishikant Kamat,Action,"Phantom Films, Eros International",[80],,
25,Phamous,Karan Lalit Butani,Jackie ShroffJimmy SheirgillKay Kay MenonShriya SaranMahie GillPankaj Tripathi,Drama/Action,Vidisha Productions Pvt. Ltd.,[81],,
26,15,Race 3,Remo D'Souza,Anil KapoorSalman KhanBobby DeolJacqueline FernandezSaqib SaleemDaisy ShahFreddy Daruwala,Thriller,"Tips Films, Salman Khan Films",[82],
27,29,Sanju,Rajkumar Hirani,Ranbir KapoorSonam KapoorDia MirzaParesh RawalManisha KoiralaAnushka Sharma,Biopic,"Rajkumar Hirani Films, Vinod Chopra Films",[83],
